Site,Storm,Volume,COD,startDate,endDate
CG,S106,20.83968,4800,1/10/2014 16:35,1/11/2014 2:47
CG,S106G,,6270,1/12/2014 15:30,
CG,S107,25.82496,2440,2/20/2014 5:40,2/20/2014 23:37
CG,S109,8.50176,165,4/28/2014 8:16,4/28/2014 12:58
CG,S110,,20,9/4/2014 5:07,9/4/2014 9:09
CG,S111,,4200,11/22/2014 8:21,11/22/2014 10:07
CG,S112,,1700,12/8/2014 6:51,12/8/2014 9:21
CG,S116,,4300,3/23/2015 11:26,3/23/2015 12:55
US,S104,,8.5,12/9/2013 10:30,
US,S105,,41.3,12/19/2013 23:45,12/20/2013 13:10
US,S105G,,67.8,12/20/2013 15:50,
US,S106,,299,1/10/2014 17:25,1/11/2014 21:15
US,S106G,,1130,1/12/2014 13:55,
US,S107,,60.2,2/20/2014 5:55,2/21/2014 2:35
US,S107G,,352,2/21/2014 12:30,
US,S108,,27.2,4/14/2014 15:20,4/15/2014 11:20
US,S108G,,28.3,4/15/2014 11:15,
US,S110,,15,9/4/2014 18:15,
US,S111,,72,11/22/2014 4:05,11/22/2014 11:45
US,S111G,,240,11/22/2014 15:30,
US,S112,,64,12/8/2014 6:25,12/8/2014 20:00
US,S112G,,500,12/9/2014 11:45,
US,S113,,18,1/4/2015 6:45,1/4/2015 18:30
US,S113B,,27,1/4/2015 6:45,1/4/2015 10:50
US,S113C,,20,1/4/2015 11:55,1/4/2015 18:30
US,S115,,220,3/9/2015 14:20,3/12/2015 1:30
US,S116,,86,3/23/2015 8:55,3/23/2015 21:15
US,S116A,,56,3/23/2015 8:55,3/23/2015 14:10
US,S116B,,100,3/23/2015 14:35,3/23/2015 18:05
US,S116C,,110,3/23/2015 18:30,3/23/2015 21:15
US,W101,,25,12/05/2014 10:45,
US,W102,,78,12/15/2014 14:00,
US,W103,,33,12/22/2014 11:15,
US,W104,,12,01/15/2015 14:45,
LK,S104,,19.7,12/9/2013 23:10,12/9/2013 17:00
LK,S104G,,17.1,12/9/2013 16:30,
LK,S105,,421,12/20/2013 5:40,12/20/2013 18:00
LK,S105G,,409,12/20/2013 18:30,
LK,S106,,303,1/10/2014 20:20,1/12/2014 7:00
LK,S106G,,307,1/12/2014 16:45,
LK,S107,,311,2/20/2014 10:45,2/21/2014 15:40
LK,S107G,,373,2/21/2014 15:45,
LK,S108,,64.4,4/14/2014 19:10,4/15/2014 14:05
LK,S108G,,45.7,4/15/2014 14:10,
LK,S110,,48,9/4/2014 7:15,9/4/2014 14:35
LK,S110G,,17,9/4/2014 17:15,
LK,S111,,160,11/22/2014 9:35,11/22/2014 17:50
LK,S111G,,830,11/22/2014 18:45,
LK,S112,,120,12/8/2014 10:45,12/9/2014 9:10
LK,S112G,,150,12/9/2014 9:30,
LK,S113,,360,1/3/2015 11:50,1/5/2015 5:00
LK,S113A,,58,1/3/2015 11:50,1/3/2015 22:15
LK,S113B,,570,1/3/2015 23:10,1/4/2015 9:20
LK,S113C,,530,1/4/2015 10:10,1/4/2015 19:50
LK,S113D,,320,1/4/2015 21:15,1/5/2015 5:00
LK,S113G,,170,1/5/2015 14:10,
LK,S114,,460,3/3/2015 13:45,3/4/2015 10:15
LK,S115,,130,3/9/2015 15:50,3/12/2015 5:55
LK,S115A,,150,3/9/2015 15:50,3/10/2015 14:45
LK,S115B,,87,3/10/2015 16:40,3/11/2015 19:45
LK,S115C,,95,3/11/2015 23:35,3/12/2015 5:55
LK,S116,,290,3/23/2015 14:35,3/24/2015 6:35
LK,S116A,,100,3/23/2015 14:35,3/23/2015 21:00
