"step","AIC","Deviance","Resid.Dev","Resid.Df","Correlation","Slope","Res.St.Error","PRESS","scope","response"
"",424.143477355021,NA,414.874019378562,101,NA,NA,NA,NA,"","CODcens"
"+ Sag281_299",377.927854275099,50.8503520681518,364.02366731041,100,0.741896411392456,0.385693930216324,1.43042396778624,2052029512.93068," + Sag281_299","CODcens"
"+ log(A473)",304.517470004882,78.0451132584467,285.978554051963,99,0.788644347143527,0.713471062241314,0.984212230223113,3604491732.21115," + Sag281_299 + log(A473)","CODcens"
"+ cosDY",291.575859281241,17.5763397118708,268.402214340092,98,0.756262871010009,0.759746734001901,0.9082727191792,3848548512.27691," + Sag281_299 + log(A473) + cosDY","CODcens"
"+ sinDY",270.434862089406,25.7757261800646,242.626488160028,97,0.812390598042121,0.814223192088008,0.805526408068613,1751008262.63019," + Sag281_299 + log(A473) + cosDY + sinDY","CODcens"
"+ log(Sag281_299)",249.825648679916,25.2439423977196,217.382545762308,96,0.901366376295198,0.853711822806694,0.716286930177255,324499171.965672," + Sag281_299 + log(A473) + cosDY + sinDY + log(Sag281_299)","CODcens"
"+ Sag473_491",245.613613820369,8.84676384777583,208.535781914532,95,0.870137543943119,0.866789057027595,0.689741414049106,434932153.961796," + Sag281_299 + log(A473) + cosDY + sinDY + log(Sag281_299) + Sag473_491","CODcens"
"+ log(A452)",238.607079947473,11.6412628611257,196.894519053407,94,0.897143564884982,0.880834291088369,0.655266111530813,286905429.597565," + Sag281_299 + log(A473) + cosDY + sinDY + log(Sag281_299) + Sag473_491 + log(A452)","CODcens"
"+ Sag482_500",234.157270561973,9.08453837373008,187.809980679677,93,0.87858420271083,0.891993226809667,0.630323250668195,345894781.998565," + Sag281_299 + log(A473) + cosDY + sinDY + log(Sag281_299) + Sag473_491 + log(A452) + Sag482_500","CODcens"
"- Sag281_299",233.399180258963,3.87663868521935,191.686619364896,94,0.856880040024376,0.888667781272758,0.638907932769777,550577164.056635," + Sag281_299 + log(A473) + cosDY + sinDY + log(Sag281_299) + Sag473_491 + log(A452) + Sag482_500 - Sag281_299","CODcens"
