Wavelength,OrangeII5,SunsetYellow5,Tartrazine5,Erioglycine5
200,0.116001,0.093136559,0.093672591,0.104591877
201,0.113742409,0.090652267,0.087121832,0.092944168
202,0.11082018,0.08880395,0.08144522,0.084546992
203,0.10738313,0.088362979,0.075727331,0.078630158
204,0.105791701,0.088343601,0.071360158,0.073971302
205,0.103355845,0.086426432,0.066248211,0.070589692
206,0.100458814,0.086276131,0.062956812,0.06815599
207,0.097566602,0.085633377,0.058909527,0.066780181
208,0.095494738,0.085011582,0.055090046,0.064813697
209,0.094403332,0.08434769,0.050999487,0.063828268
210,0.092206171,0.083014729,0.046707539,0.061660678
211,0.090923635,0.083317148,0.043503864,0.060560805
212,0.0901238,0.083020339,0.040518849,0.058528525
213,0.08918043,0.082197289,0.036828416,0.056902804
214,0.088539382,0.081401395,0.03337445,0.054513481
215,0.088673738,0.080292876,0.030929136,0.052020923
216,0.088427445,0.079787369,0.028547427,0.049561378
217,0.090584209,0.079904589,0.027290054,0.04829988
218,0.091117827,0.078968155,0.025230986,0.044473407
219,0.093773244,0.079096856,0.024215898,0.041320962
220,0.096244661,0.079101669,0.023868718,0.038353135
221,0.099721266,0.079173947,0.022734501,0.036146008
222,0.103337904,0.080668795,0.022354415,0.03291531
223,0.106749078,0.082046474,0.021925279,0.030109969
224,0.110057106,0.084110978,0.022013322,0.0271838
225,0.112592933,0.085923712,0.021885185,0.024450871
226,0.115321843,0.08801909,0.02234041,0.021883479
227,0.117001725,0.09028742,0.022806477,0.019771689
228,0.117567805,0.092358182,0.023421942,0.017532078
229,0.117234794,0.094531233,0.02407365,0.016093231
230,0.11705484,0.097260835,0.024725104,0.014750466
231,0.114987349,0.10061344,0.024908238,0.013740666
232,0.111731624,0.103612686,0.026327916,0.012946078
233,0.106561189,0.105199533,0.027001134,0.011984083
234,0.099750867,0.106588307,0.02823828,0.011359312
235,0.091960361,0.107155579,0.029484029,0.010929313
236,0.083952142,0.105922359,0.030969129,0.011227642
237,0.07588206,0.104201282,0.032242178,0.010948976
238,0.068573346,0.102952401,0.033915194,0.010578796
239,0.062693374,0.101837481,0.036079193,0.010341141
