"step","AIC","Deviance","Resid.Dev","Resid.Df","Correlation","Slope","Res.St.Error","PRESS","scope","response"
"",334.173252924552,NA,325.409199655204,78,NA,NA,NA,NA,"","CODcens"
"+ Sag281_299",296.926664112275,41.6286154469503,283.780584208254,77,0.800652271559782,0.399961705308778,1.44390178479715,1258106715.59301," + Sag281_299","CODcens"
"+ log(A473)",237.5136394414,63.7950513055495,219.985532902704,76,0.846476572369679,0.73131101977481,0.975389553086437,2124866480.74401," + Sag281_299 + log(A473)","CODcens"
"+ sinDY",229.773846298693,12.1218197773808,207.863713125323,75,0.821885560198052,0.770116288281417,0.910151983027118,1810840050.25716," + Sag281_299 + log(A473) + sinDY","CODcens"
"+ cosDY",214.711732153296,19.4441407800703,188.419572345253,74,0.857082921747625,0.821715595571335,0.81135713622302,1136307512.12428," + Sag281_299 + log(A473) + sinDY + cosDY","CODcens"
"+ log(Sag281_299)",200.713721177643,18.3800376103274,170.039534734925,73,0.95661296465663,0.857115740471108,0.728177333571971,159245493.697594," + Sag281_299 + log(A473) + sinDY + cosDY + log(Sag281_299)","CODcens"
"+ Sag473_491",195.52200610742,9.57374170489618,160.465793030029,72,0.931982915131392,0.874416982485588,0.690565998335257,209720314.080722," + Sag281_299 + log(A473) + sinDY + cosDY + log(Sag281_299) + Sag473_491","CODcens"
"+ log(Sag239_248)",190.343380889972,9.56065185212242,150.905141177907,71,0.858093970628509,0.888418033978618,0.655012379835117,460552589.939363," + Sag281_299 + log(A473) + sinDY + cosDY + log(Sag281_299) + Sag473_491 + log(Sag239_248)","CODcens"
"+ Sag239_248",188.662644838213,6.06276268643248,144.842378491474,70,0.913062123479768,0.897262293979618,0.635082540147994,220416454.811189," + Sag281_299 + log(A473) + sinDY + cosDY + log(Sag281_299) + Sag473_491 + log(Sag239_248) + Sag239_248","CODcens"
"- Sag281_299",185.975366029127,1.69474782558777,146.537126317062,71,0.90378000237131,0.89597198592203,0.637372362916447,303543612.206087," + Sag281_299 + log(A473) + sinDY + cosDY + log(Sag281_299) + Sag473_491 + log(Sag239_248) + Sag239_248 - Sag281_299","CODcens"
"+ Resids490",185.697098818861,4.66029384493982,141.876832472122,70,0.88118166612144,0.90122554174085,0.62341992431411,393140795.084671," + Sag281_299 + log(A473) + sinDY + cosDY + log(Sag281_299) + Sag473_491 + log(Sag239_248) + Sag239_248 - Sag281_299 + Resids490","CODcens"
