"step","AIC","Deviance","Resid.Dev","Resid.Df","Correlation","Slope","Res.St.Error","PRESS","scope","response"
"",345.645448653727,NA,336.807767438134,81,NA,NA,NA,NA,"","CODcens"
"+ Sag281_299",303.850930183085,46.2133590784393,290.594408359695,80,0.784396962813927,0.422066502097451,1.41033310111631,1629384318.86327," + Sag281_299","CODcens"
"+ log(A482)",248.051565325157,60.2182054657244,230.37620289397,79,0.827928664150747,0.722380575072688,0.987357500930392,2621583445.43017," + Sag281_299 + log(A482)","CODcens"
"+ sinDY",235.541792807995,16.9286131249586,213.447589769012,78,0.820012746135351,0.77470377571884,0.897256682244665,1750573513.33003," + Sag281_299 + log(A482) + sinDY","CODcens"
"+ cosDY",215.624849199245,24.3357842165462,189.111805552466,77,0.853406080386681,0.833664572443879,0.779856851447151,1125948421.0658," + Sag281_299 + log(A482) + sinDY + cosDY","CODcens"
"+ log(Sag281_299)",200.823552740144,19.220137066898,169.891668485568,76,0.940106891762495,0.867053206796087,0.699089046029438,180488327.912905," + Sag281_299 + log(A482) + sinDY + cosDY + log(Sag281_299)","CODcens"
"+ Sag482_500",195.99756165308,9.24483169486084,160.646836790707,75,0.922690261239051,0.882648138263665,0.6655557516409,229511983.471718," + Sag281_299 + log(A482) + sinDY + cosDY + log(Sag281_299) + Sag482_500","CODcens"
"+ log(A476)",187.483675153061,12.9327271078152,147.714109682892,74,0.947739774065734,0.899855730265317,0.619762925781099,110640791.319145," + Sag281_299 + log(A482) + sinDY + cosDY + log(Sag281_299) + Sag482_500 + log(A476)","CODcens"
"+ log(Sag482_500)",187.374519470312,4.52799629054567,143.186113392346,73,0.927903471258557,0.906435547686184,0.607147312590164,163231375.231412," + Sag281_299 + log(A482) + sinDY + cosDY + log(Sag281_299) + Sag482_500 + log(A476) + log(Sag482_500)","CODcens"
"- Sag281_299",186.85000045937,3.89432159685438,147.0804349892,74,0.910787633798494,0.902869050560815,0.617401602653412,304613539.283479," + Sag281_299 + log(A482) + sinDY + cosDY + log(Sag281_299) + Sag482_500 + log(A476) + log(Sag482_500) - Sag281_299","CODcens"
