"step","AIC","Deviance","Resid.Dev","Resid.Df","Correlation","Slope","Res.St.Error","PRESS","scope","response"
"",391.964226449962,NA,382.835530067026,94,NA,NA,NA,NA,"","CODcens"
"+ Sag281_299",343.169573707994,53.3590009334363,329.47652913359,93,0.779508896780666,0.422216259131476,1.36017281378058,1556330547.40567," + Sag281_299","CODcens"
"+ log(A473)",277.605891709464,70.1280301899971,259.348498943593,92,0.821836335546722,0.723131499119124,0.949052887648134,3009213148.91054," + Sag281_299 + log(A473)","CODcens"
"+ log(Sag281_299)",266.665441373058,15.5047985278742,243.843700415719,91,0.915492022172501,0.762811579041808,0.880170664833956,575992441.602661," + Sag281_299 + log(A473) + log(Sag281_299)","CODcens"
"+ sinDY",250.858610900687,20.3711786638387,223.47252175188,90,0.923122392863847,0.809047109463003,0.79590550968897,322436242.025912," + Sag281_299 + log(A473) + log(Sag281_299) + sinDY","CODcens"
"+ cosDY",228.842192411441,26.5807666807141,196.891755071166,89,0.938721489455843,0.856478375052341,0.696845622236348,222135316.707939," + Sag281_299 + log(A473) + log(Sag281_299) + sinDY + cosDY","CODcens"
"+ Sag473_491",223.756987892482,9.64955271042618,187.24220236074,88,0.907397725745174,0.871220904538224,0.666401579028492,311235536.958574," + Sag281_299 + log(A473) + log(Sag281_299) + sinDY + cosDY + Sag473_491","CODcens"
"+ A698",211.368596605115,16.952739478835,170.289462881905,87,0.88847279538777,0.891714908956342,0.613540772088993,351644269.046123," + Sag281_299 + log(A473) + log(Sag281_299) + sinDY + cosDY + Sag473_491 + A698","CODcens"
"+ log(Sag263_293)",210.814913225461,5.11803157112234,165.171431310782,86,0.88094219810558,0.897312486337039,0.600825566090109,369661433.454927," + Sag281_299 + log(A473) + log(Sag281_299) + sinDY + cosDY + Sag473_491 + A698 + log(Sag263_293)","CODcens"
"+ Sag239_263",210.549305761217,4.8299556557115,160.341475655071,85,0.803255922465494,0.902057980670347,0.589296260256138,741052350.752211," + Sag281_299 + log(A473) + log(Sag281_299) + sinDY + cosDY + Sag473_491 + A698 + log(Sag263_293) + Sag239_263","CODcens"
