"step","AIC","Deviance","Resid.Dev","Resid.Df","Correlation","Slope","Res.St.Error","PRESS","scope","response"
"",298.097690317228,NA,289.516771434932,71,NA,NA,NA,NA,"","CODcens"
"+ Sag281_299",262.956834128387,39.4313156299901,250.085455804941,70,0.747711785522873,0.414238526442768,1.3605177552714,1833000863.87955," + Sag281_299","CODcens"
"+ log(A473)",214.480709393195,52.7665841763403,197.318871628601,69,0.805856361472582,0.718392089573331,0.954605309021735,2212253242.21664," + Sag281_299 + log(A473)","CODcens"
"+ log(Sag281_299)",203.457801965568,15.3133668687753,182.005504759826,68,0.874661689248633,0.770051656801558,0.865758724254162,577600532.455475," + Sag281_299 + log(A473) + log(Sag281_299)","CODcens"
"+ sinDY",187.184703176133,20.5635582305834,161.441946529242,67,0.837698892755473,0.827770559684021,0.757527144309336,419693262.598394," + Sag281_299 + log(A473) + log(Sag281_299) + sinDY","CODcens"
"+ cosDY",158.669028264272,32.8061343530096,128.635812176233,66,0.891290702618173,0.891800275129596,0.609578273615471,205601152.020596," + Sag281_299 + log(A473) + log(Sag281_299) + sinDY + cosDY","CODcens"
"+ log(A464)",152.358494781666,10.6009929237541,118.034819252479,65,0.930446274827509,0.906799058842174,0.571164215657616,96140691.6793779," + Sag281_299 + log(A473) + log(Sag281_299) + sinDY + cosDY + log(A464)","CODcens"
"+ Sag482_500",143.984690359622,12.6642638631922,105.370555389287,64,0.912204072145133,0.922752169469619,0.527721645972846,116214154.097891," + Sag281_299 + log(A473) + log(Sag281_299) + sinDY + cosDY + log(A464) + Sag482_500","CODcens"
"+ Sag473_491",143.953541726785,4.32160807398564,101.048947315301,63,0.905505956737115,0.928223817597715,0.516317043493152,132490942.102078," + Sag281_299 + log(A473) + log(Sag281_299) + sinDY + cosDY + log(A464) + Sag482_500 + Sag473_491","CODcens"
"+ log(A446)",141.404367706265,6.8396334616684,94.2093138536325,62,0.879884323326915,0.93443084440536,0.49658187593774,191607679.895686," + Sag281_299 + log(A473) + log(Sag281_299) + sinDY + cosDY + log(A464) + Sag482_500 + Sag473_491 + log(A446)","CODcens"
"- log(A464)",137.780657033985,0.666748768868487,94.876062622501,63,0.875530143671005,0.934042087387039,0.49494219106875,210070183.525066," + Sag281_299 + log(A473) + log(Sag281_299) + sinDY + cosDY + log(A464) + Sag482_500 + Sag473_491 + log(A446) - log(A464)","CODcens"
"- Sag281_299",137.260471695474,3.77027410263723,98.6463367251382,64,0.860040662286846,0.931122985463023,0.503967948565451,298246379.10489," + Sag281_299 + log(A473) + log(Sag281_299) + sinDY + cosDY + log(A464) + Sag482_500 + Sag473_491 + log(A446) - log(A464) - Sag281_299","CODcens"
