"step","AIC","Deviance","Resid.Dev","Resid.Df","Correlation","Slope","Res.St.Error","PRESS","scope","response"
"",329.450920698659,NA,320.712024993725,77,NA,NA,NA,NA,"","CODcens"
"+ Sag281_299",296.651424785261,37.1689437658655,283.54308122786,76,0.723569867322449,0.369625640292339,1.47470673393018,2002569644.98035," + Sag281_299","CODcens"
"+ log(A482)",235.924017028663,65.0968556090653,218.446225618794,75,0.75890978313832,0.725870499365204,0.983133628213699,2227225022.20661," + Sag281_299 + log(A482)","CODcens"
"+ log(Sag281_299)",227.839381547264,12.4540833338654,205.992142284929,74,0.886643573957115,0.763824667049822,0.91465262759757,359705752.87346," + Sag281_299 + log(A482) + log(Sag281_299)","CODcens"
"+ log(Sag263_281)",221.404185500234,10.8046438994976,195.187498385431,73,0.841234854593016,0.79310912095683,0.859948097068028,508730303.624456," + Sag281_299 + log(A482) + log(Sag281_299) + log(Sag263_281)","CODcens"
"+ log(Sag239_248)",211.71832853651,14.055304816191,181.13219356924,72,0.900222638463153,0.827123772491946,0.79212344126265,212836429.936603," + Sag281_299 + log(A482) + log(Sag281_299) + log(Sag263_281) + log(Sag239_248)","CODcens"
"+ log(A491)",205.684121423661,10.403654965316,170.728538603924,71,0.888732440462732,0.850516840718895,0.746778022911332,238616719.4134," + Sag281_299 + log(A482) + log(Sag281_299) + log(Sag263_281) + log(Sag239_248) + log(A491)","CODcens"
"+ A581",199.474154907433,10.5794143686944,160.14912423523,70,0.938997115406091,0.869577703020772,0.703313533238461,123027569.846179," + Sag281_299 + log(A482) + log(Sag281_299) + log(Sag263_281) + log(Sag239_248) + log(A491) + A581","CODcens"
"+ A527",192.200447961298,11.6431547986024,148.505969436628,69,0.933715355883772,0.887707313917252,0.65799953898356,142690275.700661," + Sag281_299 + log(A482) + log(Sag281_299) + log(Sag263_281) + log(Sag239_248) + log(A491) + A581 + A527","CODcens"
"+ A626",183.176847965213,13.3930478485515,135.112921588076,68,0.890734303544587,0.905093907187141,0.608886873743265,242997115.784477," + Sag281_299 + log(A482) + log(Sag281_299) + log(Sag263_281) + log(Sag239_248) + log(A491) + A581 + A527 + A626","CODcens"
"+ A521",171.839459202221,15.7068366154597,119.406084972616,67,0.917452357962678,0.922305193869232,0.555307233491492,140621968.901933," + Sag281_299 + log(A482) + log(Sag281_299) + log(Sag263_281) + log(Sag239_248) + log(A491) + A581 + A527 + A626 + A521","CODcens"
"+ A515",167.986260434819,8.22264661986839,111.183438352748,66,0.915824523399603,0.930052863984468,0.531066373240307,145616357.785387," + Sag281_299 + log(A482) + log(Sag281_299) + log(Sag263_281) + log(Sag239_248) + log(A491) + A581 + A527 + A626 + A521 + A515","CODcens"
"+ log(A476)",165.582021793011,6.77368649427494,104.409751858473,65,0.927397141736912,0.935916470377483,0.512619838701688,105653279.71638," + Sag281_299 + log(A482) + log(Sag281_299) + log(Sag263_281) + log(Sag239_248) + log(A491) + A581 + A527 + A626 + A521 + A515 + log(A476)","CODcens"
"+ log(A473)",159.917367179467,10.0341024660116,94.3756493924616,64,0.922307981337957,0.944408751011297,0.484763563299154,104446115.031414," + Sag281_299 + log(A482) + log(Sag281_299) + log(Sag263_281) + log(Sag239_248) + log(A491) + A581 + A527 + A626 + A521 + A515 + log(A476) + log(A473)","CODcens"
"+ A542",157.036869005961,7.24994602597313,87.1257033664884,63,0.941935622262282,0.94921117456314,0.46662579112358,71384004.1544187," + Sag281_299 + log(A482) + log(Sag281_299) + log(Sag263_281) + log(Sag239_248) + log(A491) + A581 + A527 + A626 + A521 + A515 + log(A476) + log(A473) + A542","CODcens"
"+ A680",152.836720531315,8.56959632711327,78.5561070393752,62,0.940895221528581,0.954211925553863,0.445485126231594,81013659.851038," + Sag281_299 + log(A482) + log(Sag281_299) + log(Sag263_281) + log(Sag239_248) + log(A491) + A581 + A527 + A626 + A521 + A515 + log(A476) + log(A473) + A542 + A680","CODcens"
"+ A674",148.880139600006,8.32602878377584,70.2300782555993,61,0.954063691966182,0.958908467610324,0.426012055710502,56153512.1469789," + Sag281_299 + log(A482) + log(Sag281_299) + log(Sag263_281) + log(Sag239_248) + log(A491) + A581 + A527 + A626 + A521 + A515 + log(A476) + log(A473) + A542 + A680 + A674","CODcens"
"+ A479",147.657610983854,5.59197646861908,64.6381017869802,60,0.95340762275031,0.961705893438416,0.414554997574017,59922238.6576459," + Sag281_299 + log(A482) + log(Sag281_299) + log(Sag263_281) + log(Sag239_248) + log(A491) + A581 + A527 + A626 + A521 + A515 + log(A476) + log(A473) + A542 + A680 + A674 + A479","CODcens"
