"step","AIC","Deviance","Resid.Dev","Resid.Df","Correlation","Slope","Res.St.Error","PRESS","scope","response"
"",298.097690317228,NA,289.516771434932,71,NA,NA,NA,NA,"","CODcens"
"+ Sag281_299",262.956834128387,39.4313156299901,250.085455804941,70,0.747711785522873,0.414238526442768,1.3605177552714,1833000863.87955," + Sag281_299","CODcens"
"+ log(A473)",214.480709393195,52.7665841763403,197.318871628601,69,0.805856361472582,0.718392089573331,0.954605309021735,2212253242.21664," + Sag281_299 + log(A473)","CODcens"
"+ log(Sag281_299)",203.457801965568,15.3133668687753,182.005504759826,68,0.874661689248633,0.770051656801558,0.865758724254162,577600532.455475," + Sag281_299 + log(A473) + log(Sag281_299)","CODcens"
"+ Sag473_491",202.999669989507,4.74859141720881,177.256913342617,67,0.840993218807391,0.787253251392862,0.844192932357629,782716829.311706," + Sag281_299 + log(A473) + log(Sag281_299) + Sag473_491","CODcens"
"+ log(A449)",200.89274371865,6.3973857120055,170.859527630611,66,0.762778005544716,0.804299410410059,0.814008569714038,1265127816.13761," + Sag281_299 + log(A473) + log(Sag281_299) + Sag473_491 + log(A449)","CODcens"
"+ log(A431)",191.238674669143,13.9445284906555,156.914999139956,65,0.810162060308194,0.839538356201532,0.745443515019539,575371784.230967," + Sag281_299 + log(A473) + log(Sag281_299) + Sag473_491 + log(A449) + log(A431)","CODcens"
"+ log(A425)",188.988326103548,6.5408080067437,150.374191133212,64,0.795315532793306,0.854006717871524,0.718246657836679,653886906.35087," + Sag281_299 + log(A473) + log(Sag281_299) + Sag473_491 + log(A449) + log(A431) + log(A425)","CODcens"
"+ log(A455)",188.24193029161,5.03685525308617,145.337335880126,63,0.782791222647912,0.864900584825651,0.699290415800399,763919542.638482," + Sag281_299 + log(A473) + log(Sag281_299) + Sag473_491 + log(A449) + log(A431) + log(A425) + log(A455)","CODcens"
"- Sag281_299",187.899871326309,3.94840047584785,149.285736355974,64,0.732751394582954,0.858592313456242,0.712911915025444,1474032807.22196," + Sag281_299 + log(A473) + log(Sag281_299) + Sag473_491 + log(A449) + log(A431) + log(A425) + log(A455) - Sag281_299","CODcens"
