"step","AIC","Deviance","Resid.Dev","Resid.Df","Correlation","Slope","Res.St.Error","PRESS","scope","response"
"",185.021977027266,NA,177.321681823846,45,NA,NA,NA,NA,"","CODcens"
"+ log(Sag473_491)",167.498276039545,21.3738485894309,155.947833234415,44,0.768239262224032,0.360642139897805,1.29929722905396,36107039.8777202," + log(Sag473_491)","CODcens"
"+ sinDY",160.901355163687,10.4470684775682,145.500764756847,43,0.712510365215937,0.490410168831831,1.175767264122,42948730.1292122," + log(Sag473_491) + sinDY","CODcens"
"+ Sag281_299",154.509623845325,10.2418789200719,135.258885836775,42,0.765333780324162,0.583963627672439,1.06658240981167,45329509.2708073," + log(Sag473_491) + sinDY + Sag281_299","CODcens"
"+ log(A482)",141.662774363243,16.6969970837924,118.561888752983,41,0.653851919925674,0.710335004409673,0.903568954425355,204573601.791619," + log(Sag473_491) + sinDY + Sag281_299 + log(A482)","CODcens"
"+ cosDY",129.019454932632,16.4934670323214,102.068421720661,40,0.761661124027174,0.798169967516534,0.767346751264361,95802937.3300829," + log(Sag473_491) + sinDY + Sag281_299 + log(A482) + cosDY","CODcens"
"+ log(Sag281_299)",126.139898166498,6.72970436784401,95.3387173528172,39,0.898862650915935,0.822288272213872,0.723204833431163,19020575.3485509," + log(Sag473_491) + sinDY + Sag281_299 + log(A482) + cosDY + log(Sag281_299)","CODcens"
"- Sag281_299",124.551073141474,2.26132257668596,97.6000399295032,40,0.842846880145198,0.817271256662042,0.73172357316253,44193306.3507591," + log(Sag473_491) + sinDY + Sag281_299 + log(A482) + cosDY + log(Sag281_299) - Sag281_299","CODcens"
"+ A359",123.919329994027,4.48189074915707,93.1181491803461,39,0.86270741740027,0.834131852199982,0.706320731051453,32602672.7698583," + log(Sag473_491) + sinDY + Sag281_299 + log(A482) + cosDY + log(Sag281_299) - Sag281_299 + A359","CODcens"
"- log(Sag473_491)",120.086764613623,0.0175822213061423,93.1357314016522,40,0.861898435288127,0.833504353679474,0.697784395760753,32102407.6436321," + log(Sag473_491) + sinDY + Sag281_299 + log(A482) + cosDY + log(Sag281_299) - Sag281_299 + A359 - log(Sag473_491)","CODcens"
