bdate	edate
01-20-2006 16:25	01-21-2006 05:40
02-11-2006 17:05	02-11-2006 23:00
02-16-2006 05:29	02-16-2006 17:46
03-05-2006 15:55	03-06-2006 13:05
03-07-2006 13:25	03-09-2006 09:25
12-01-2006 03:30	12-01-2006 21:40
01-14-2007 21:10	01-15-2007 12:25
01-21-2007 08:20	01-22-2007 06:35
02-23-2007 23:40	02-26-2007 10:10
03-01-2007 07:10	03-02-2007 08:40
04-11-2007 12:30	04-12-2007 06:15
09-25-2007 16:45	09-26-2007 04:25
12-01-2007 13:05	12-03-2007 05:35
12-11-2007 06:20	12-12-2007 04:30
01-05-2008 17:45	01-09-2008 03:55
02-17-2008 03:25	02-17-2008 15:35
03-21-2008 05:58	03-22-2008 10:22
03-25-2008 06:45	03-25-2008 22:30
06-29-2008 01:43	06-29-2008 08:03
10-05-2008 15:03	10-05-2008 18:01
11-30-2008 15:25	12-01-2008 12:10
12-08-2008 15:45	12-09-2008 18:25
12-09-2008 19:35	12-10-2008 08:00
01-09-2009 06:10	01-09-2009 16:25
02-27-2009 06:20	02-27-2009 14:45
03-28-2009 19:00	03-29-2009 17:25
04-21-2009 07:20	04-21-2009 12:55
07-15-2009 04:40	07-15-2009 12:30
12-08-2009 09:00	12-09-2009 05:23
01-23-2010 14:40	01-25-2010 02:05
02-09-2010 04:05	02-10-2010 11:05
03-09-2010 16:20	03-11-2010 04:30
04-08-2010 05:20	04-08-2010 12:45
09-01-2010 03:30	09-01-2010 04:35
10-26-2010 07:00	10-26-2010 12:30
12-20-2010 17:50	12-21-2010 12:55
01-31-2011 09:35	02-02-2011 13:20
02-20-2011 09:45	02-22-2011 09:10
04-19-2011 18:45	04-20-2011 08:50
08-30-2011 23:40	08-31-2011 10:15
12-20-2011 17:40	12-21-2011 07:35
01-12-2012 11:25	01-13-2012 09:45
01-17-2012 06:30	01-17-2012 16:10
01-22-2012 16:25	01-24-2012 09:55
03-02-2012 15:10	03-04-2012 06:40
