#  RDB file created by NWIS qwflatout program on nwiswi at 06/02/2014 15:45:21
#
# AGNCY  Agency code
# BDATE  Begin date
# BTIME  Begin time
# EDATE  End date
# ETIME  End time
# MEDIM  Medium code
# PCODE  Parameter code
# REMRK  Remark code
# SAMPL  Record number
# SCMFL  Field sample comment
# STAID  Station number
# STYPE  Sample type code
# VALUE  Parameter value
# RPLEV  Reporting level
#
AGNCY	BDATE	BTIME	EDATE	ETIME	MEDIM	PCODE	REMRK	SAMPL	SCMFL	STAID	STYPE	VALUE	RPLEV
10S	10S	10S	10D	10S	10S	10S	10S	10S	50S	20S	10S	10N	10S
USGS	20000103	1538	20000104	1032	WS	00028		00001559	CG-S17	040871476	9	85543	
USGS	20000103	1538	20000104	1032	WS	00310		00001559	CG-S17	040871476	9	38600	
USGS	20000103	1538	20000104	1032	WS	00335		00001559	CG-S17	040871476	9	60000	
USGS	20000103	1538	20000104	1032	WS	00403		00001559	CG-S17	040871476	9	7.9	
USGS	20000103	1538	20000104	1032	WS	00530		00001559	CG-S17	040871476	9	30	
USGS	20000103	1538	20000104	1032	WS	00605		00001559	CG-S17	040871476	9	6.9	
USGS	20000103	1538	20000104	1032	WS	00608		00001559	CG-S17	040871476	9	8.77	
USGS	20000103	1538	20000104	1032	WS	00625		00001559	CG-S17	040871476	9	16	
USGS	20000103	1538	20000104	1032	WS	00665		00001559	CG-S17	040871476	9	.059	
USGS	20000103	1538	20000104	1032	WS	00916		00001559	CG-S17	040871476	9	210	
USGS	20000103	1538	20000104	1032	WS	00921		00001559	CG-S17	040871476	9	16	
USGS	20000103	1538	20000104	1032	WS	01094		00001559	CG-S17	040871476	9	110	
USGS	20000103	1538	20000104	1032	WS	01113		00001559	CG-S17	040871476	9	12	
USGS	20000103	1538	20000104	1032	WS	01114		00001559	CG-S17	040871476	9	19	
USGS	20000103	1538	20000104	1032	WS	01119		00001559	CG-S17	040871476	9	17	
USGS	20000103	1538	20000104	1032	WS	71846		00001559	CG-S17	040871476	9	11.3	
USGS	20000103	1538	20000104	1032	WS	82398		00001559	CG-S17	040871476	9	50	
USGS	20000103	1538	20000104	1032	WS	91075		00001559	CG-S17	040871476	9	370	
USGS	20000103	1538	20000104	1032	WS	91080		00001559	CG-S17	040871476	9	35000	
USGS	20000103	1538	20000104	1032	WS	99904		00001559	CG-S17	040871476	9	.86	
USGS	20000103	1538	20000104	1032	WS	99908		00001559	CG-S17	040871476	9	590	
USGS	20000103	2110			WS	00028		00001560		040871476	9	85543	
USGS	20000103	2110			WS	00061	<	00001560		040871476	9	.01	
USGS	20000103	2110			WS	00556		00001560		040871476	9	3	
USGS	20000103	2110			WS	30209	<	00001560		040871476	9	.000	
USGS	20000103	2110			WS	82398		00001560		040871476	9	70	
USGS	20000223	1610			WS	00028		00002281		040871476	9	85543	
USGS	20000223	1610			WS	00061		00002281		040871476	9	.05	
USGS	20000223	1610			WS	00556	<	00002281		040871476	9	1	
USGS	20000223	1610			WS	30209		00002281		040871476	9	.00	
USGS	20000223	1610			WS	82398		00002281		040871476	9	70	
USGS	20000222	1127	20000224	1025	WS	00028		00002282	CG-S20	040871476	9	85543	
USGS	20000222	1127	20000224	1025	WS	00310		00002282	CG-S20	040871476	9	1590	
USGS	20000222	1127	20000224	1025	WS	00335		00002282	CG-S20	040871476	9	2800	
USGS	20000222	1127	20000224	1025	WS	00403		00002282	CG-S20	040871476	9	7.4	
USGS	20000222	1127	20000224	1025	WS	00530		00002282	CG-S20	040871476	9	234	
USGS	20000222	1127	20000224	1025	WS	00605		00002282	CG-S20	040871476	9	3.5	
USGS	20000222	1127	20000224	1025	WS	00608		00002282	CG-S20	040871476	9	.549	
USGS	20000222	1127	20000224	1025	WS	00625		00002282	CG-S20	040871476	9	4.0	
USGS	20000222	1127	20000224	1025	WS	00665		00002282	CG-S20	040871476	9	.399	
USGS	20000222	1127	20000224	1025	WS	00916		00002282	CG-S20	040871476	9	56.0	
USGS	20000222	1127	20000224	1025	WS	00921		00002282	CG-S20	040871476	9	12	
USGS	20000222	1127	20000224	1025	WS	01094		00002282	CG-S20	040871476	9	140	
USGS	20000222	1127	20000224	1025	WS	01114		00002282	CG-S20	040871476	9	41	
USGS	20000222	1127	20000224	1025	WS	01119		00002282	CG-S20	040871476	9	27	
USGS	20000222	1127	20000224	1025	WS	71846		00002282	CG-S20	040871476	9	.707	
USGS	20000222	1127	20000224	1025	WS	82398		00002282	CG-S20	040871476	9	50	
USGS	20000222	1127	20000224	1025	WS	91075		00002282	CG-S20	040871476	9	48.0	
USGS	20000222	1127	20000224	1025	WS	91080		00002282	CG-S20	040871476	9	750	
USGS	20000222	1127	20000224	1025	WS	99904		00002282	CG-S20	040871476	9	25	
USGS	20000222	1127	20000224	1025	WS	99908		00002282	CG-S20	040871476	9	190	
USGS	20000406	0952			WS	00028		00002407		040871476	9	1028	
USGS	20000406	0952			WS	00061		00002407		040871476	9	.01	
USGS	20000406	0952			WS	30209		00002407		040871476	9	.00	
USGS	20000406	0952			WS	82398		00002407		040871476	9	70	
USGS	20000406	0952			WS	99920		00002407		040871476	9	4900.0	
USGS	20000406	0952			WS	99921		00002407		040871476	9	1400.0	
USGS	20000406	0952			WS	99922		00002407		040871476	9	10.000	
USGS	20000407	1237	20000408	0036	WS	00028		00002422	CG-S22	040871476	9	85543	
USGS	20000407	1237	20000408	0036	WS	00310		00002422	CG-S22	040871476	9	1500	
USGS	20000407	1237	20000408	0036	WS	00335		00002422	CG-S22	040871476	9	2500	
USGS	20000407	1237	20000408	0036	WS	00403		00002422	CG-S22	040871476	9	7.9	
