STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
726400,14839, 19901001,   55.2,24,   40.6,24, 1016.9,24,  991.4,24,  13.1,24,  11.4,24,  20.0,  27.0,   69.1*,  45.0 , 0.00G,999.9, 010000,
726400,14839, 19901002,   57.7,24,   39.0,24, 1017.9,24,  992.5,24,   9.6,24,   7.3,24,  13.0, 999.9,   71.1*,  45.0 , 0.00G,999.9, 000000,
726400,14839, 19901003,   65.0,24,   56.2,24, 1008.9,24,  984.0,24,   6.3,24,  11.3,24,  18.1,  29.9,   73.0*,  62.1*, 0.22G,999.9, 110000,
726400,14839, 19901004,   57.4,24,   44.9,24, 1007.6,24,  982.5,24,  13.8,24,  14.1,24,  20.0,  33.0,   75.0 ,  48.0 , 0.24G,999.9, 010000,
726400,14839, 19901005,   64.8,24,   47.6,24, 1009.7,24,  984.6,24,  14.5,24,  12.0,24,  20.0,  28.0,   84.0*,  48.0 , 0.00G,999.9, 000000,
726400,14839, 19901006,   73.7,24,   57.4,24, 1006.0,24,  981.3,24,  14.3,24,  15.1,24,  22.9,  29.9,   84.0 ,  52.0 , 0.00G,999.9, 000000,
726400,14839, 19901007,   52.8,24,   46.7,24, 1016.1,24,  990.9,24,  12.5,24,  18.7,24,  24.1,  33.0,   82.0 ,  48.9 , 0.00G,999.9, 010000,
726400,14839, 19901008,   48.9,24,   41.0,24, 1023.9,24,  998.2,24,   9.7,24,  17.1,24,  22.9,  27.0,   54.0 ,  45.0*, 0.01G,999.9, 110000,
726400,14839, 19901009,   46.1,24,   40.2,24, 1022.7,24,  997.0,24,   8.2,24,  19.4,24,  22.9,  32.1,   51.1 ,  44.1 , 0.36G,999.9, 110000,
726400,14839, 19901010,   43.9,24,   40.9,24, 1014.2,24,  988.6,24,   5.8,24,  19.9,24,  27.0,  35.0,   48.9 ,  37.0*, 0.74G,999.9, 110000,
726400,14839, 19901011,   42.8,24,   33.9,24, 1018.0,24,  992.2,24,  10.4,24,   9.7,24,  14.0,  21.0,   59.0*,  33.1 , 0.17G,999.9, 110000,
726400,14839, 19901012,   50.3,24,   38.0,24, 1018.6,24,  993.0,24,  12.0,24,   6.4,24,  13.0, 999.9,   64.9*,  33.1 , 0.00G,999.9, 000000,
726400,14839, 19901013,   51.0,24,   45.7,24, 1014.0,24,  988.6,24,   8.5,24,   6.8,24,  14.0, 999.9,   64.9 ,  39.9 , 0.00G,999.9, 100000,
726400,14839, 19901014,   54.4,24,   49.2,24, 1005.7,24,  980.6,24,   5.9,24,   8.6,24,  11.1, 999.9,   60.1 ,  44.1 , 0.20G,999.9, 110000,
726400,14839, 19901015,   50.5,24,   37.8,24, 1013.6,24,  988.2,24,  14.2,24,  10.6,24,  28.0,  38.1,   59.0 ,  43.0 , 0.38G,999.9, 100000,
726400,14839, 19901016,   54.1,24,   40.9,24, 1018.4,24,  992.9,24,  13.6,24,   7.2,24,  13.0,  20.0,   64.9*,  43.0 , 0.00G,999.9, 000000,
726400,14839, 19901017,   67.3,24,   56.9,24, 1005.6,24,  980.8,24,   7.5,24,  14.5,24,  22.0,  32.1,   78.1*,  46.0 , 0.00G,999.9, 100000,
726400,14839, 19901018,   47.5,24,   41.0,24, 1002.2,24,  977.3,24,   7.5,24,  19.9,24,  26.0,  38.1,   72.0*,  39.0 , 0.32G,999.9, 110010,
726400,14839, 19901019,   39.5,24,   29.6,24, 1021.3,24,  995.3,24,  13.7,24,   9.2,24,  18.1,  26.0,   54.0 ,  32.0 , 0.01G,999.9, 000000,
726400,14839, 19901020,   51.9,24,   38.7,24, 1015.9,24,  990.4,24,  10.8,24,   9.4,24,  15.0,  21.0,   63.0*,  32.0 , 0.00G,999.9, 000000,
726400,14839, 19901021,   52.7,24,   41.9,24, 1012.1,24,  986.8,24,   8.6,24,  10.6,24,  15.0,  21.0,   63.0 ,  46.0 , 0.01G,999.9, 110000,
726400,14839, 19901022,   41.7,24,   30.8,24, 1020.1,24,  994.3,24,   9.2,24,   3.8,24,  10.1, 999.9,   55.9 ,  32.0 , 0.00D,999.9, 000000,
726400,14839, 19901023,   47.1,24,   34.7,24, 1016.6,24,  991.0,24,  10.0,24,   7.2,24,  14.0,  20.0,   62.1*,  32.0 , 0.00G,999.9, 000000,
726400,14839, 19901024,   49.0,24,   35.1,24, 1017.0,24,  991.4,24,  13.0,24,  10.3,24,  15.0,  20.0,   62.1 ,  37.0 , 0.00G,999.9, 000000,
726400,14839, 19901025,   42.0,24,   31.9,24, 1022.6,24,  996.8,24,  14.5,24,   9.3,24,  15.0, 999.9,   55.0 ,  36.0 , 0.00G,999.9, 000000,
726400,14839, 19901026,   41.5,24,   32.9,24, 1022.2,24,  996.3,24,   9.4,24,   5.7,24,  13.0, 999.9,   54.0*,  32.0 , 0.00G,999.9, 100000,
