storm ID,Start Date,End Date,Duration (hours),precip,OUT Pure Glycol Application (gallons),OUT Pure Glycol Application (kg),OUT sample start,OUT sample end,OUT Volume (liters),OUT Ethylene Glycol (kg),OUT Propylene Glycol (kg),OUT EG+PG (kg),CG Pure Glycol Application (gallons),CG Pure Glycol Application (kg),CG sample start,CG sample end,CG Volume (liters),CG Ethylene Glycol (kg),CG Propylene Glycol (kg),CG EG+PG (kg),US sample start,US sample end,US Volume (liters),US Ethylene Glycol (kg),US Propylene Glycol (kg),US EG+PG (kg),LK sample start,LK sample end,LK Volume (liters),LK Ethylene Glycol (kg),LK Propylene Glycol (kg),LK EG+PG (kg),LK EG+PG (kg)
S1,11/23/1996,11/25/1996,34:00:00,Freezing rain,7187,28293,11/23/1996 23:00,11/25/1996 9:00,"2,878,152",71,"1,433","1,504",2072,8155,11/23/1996 23:30,11/25/1996 0:00,"159,761",5.1,189.6,195,11/23/1996 23:00,11/25/1996 9:00,429863.38,,,,11/24/1996 1:00,11/25/1996 10:00,13685901,,,,
S2,12/5/1996,12/6/1996,27:55:00,Freezing rain,6180,24329,12/5/1996 7:10,12/6/1996 11:05,"5,055,360",666,"8,670","9,336",1624,6395,12/5/1996 11:55,12/6/1996 8:15,"217,745",104.3,"2,063.40","2,168",12/5/1996 7:10,12/6/1996 11:05,1404579.19,,,,12/5/1996 9:00,12/6/1996 9:00,22514370,,,,
S3,1/24/1997,1/25/1997,24:00:00,Snowfall,7348,28926,1/24/1997 15:45,1/25/1997 15:45,"2,200,695",149,"2,076","2,225",4315,16985,1/24/1997 16:05,1/25/1997 14:30,"42,815",8.8,139.2,148,1/24/1997 14:45,1/25/1997 15:54,317810.2,,,,1/24/1997 15:25,1/25/1997 18:30,11268684,,,,
S4,4/11/1997,4/12/1997,24:15:00,Freezing rain,3896,15340,4/11/1997 14:45,4/12/1997 15:00,"11,408,138","4,691","15,342","20,033",na,na,4/11/1997 16:10,4/12/1997 12:00,"553,660",14.7,"4,279.20","4,294",4/11/1997 14:15,4/12/1997 15:30,3021031.85,,,,4/11/1997 14:45,4/12/1997 15:00,49661575,,,,
S5,12/10/1997,12/10/1997,14:20,Freezing rain,7744,30485,12/10/1997 6:35,12/10/1997 20:55,"5,786,548","1,273","21,410","22,683",572,2252,12/10/1997 7:25,12/10/1997 20:45,"140,423",69,"1,194","1,262",12/10/1997 5:55,12/10/1997 20:20,1317299.86,23.71,23.71,47.42,12/10/1997 9:00,12/11/1997 1:10,31714872,1554,22518,24072,22683
S6,1/4/1998,1/4/1998,6:25,Freezing rain,10698,42117,1/4/1998 6:05,1/4/1998 12:30,"3,659,670","3,513","13,175","16,688",0,0,1/4/1998 6:10,1/4/1998 12:00,"36,444",1,21,21,1/4/1998 6:25,1/4/1998 10:45,489881.51,8.82,8.82,17.64,,,,,,,16688
S7,1/8/1998,1/8/1998,11:15,Snowfall,7906,31125,1/8/1998 8:25,1/8/1998 19:40,"2,235,898",313,"2,236","2,549",1051,4139,1/8/1998 9:45,,0,0,0,0,1/8/1998 8:35,1/8/1998 19:35,659782.61,11.88,11.88,23.75,1/8/1998 11:30,1/9/1998 3:05,21350905,384,2562,2946,2549
S8,3/3/1998,3/3/1998,3:45,Freezing rain,3943,15522,3/3/1998 6:10,3/3/1998 9:55,"832,799",100,583,683,na,na,3/3/1998 8:55,3/3/1998 10:15,"1,954",0,76,76,3/3/1998 6:05,3/3/1998 10:20,397851.74,7.16,7.16,14.32,3/3/1998 12:05,3/3/1998 15:25,4247528,76,467,544,683
S9,7/20/1998,7/21/1998,7:55,Thunderstorm,0,0,7/20/1998 19:50,7/21/1998 3:45,"23,211,322",418,418,836,0,0,7/20/1998 19:06,7/20/1998 20:04,"999,302",18,18,36,7/20/1998 20:05,7/21/1998 6:25,6059805.9,109.08,109.08,218.15,7/20/1998 19:45,7/21/1998 9:55,141301082,2543,2543,5087,836
S10,12/20/1998,12/20/1998,2:10,Freezing mist,2452,9652,12/20/1998 20:50,12/20/1998 23:00,"75,323",eqp,eqp,eqp,na,na,12/20/1998 22:30,,0,0,0,0,12/20/1998 17:55,12/20/1998 23:00,44032.7,0.79,0.79,1.59,12/20/1998 21:15,12/21/1998 8:10,4044779,73,73,146,eqp
S11,12/29/1998,12/29/1998,5:47,Wet snowfall,1836,7229,12/29/1998 6:02,12/29/1998 11:49,"158,008",3,3,6,na,na,12/29/1998 6:10,12/29/1998 12:19,"6,116",6,10,15,12/29/1998 7:15,12/29/1998 10:51,5861.59,0.11,0.11,0.21,12/29/1998 13:20,12/30/1998 9:25,5302613,95,95,191,6
S12,1/11/1999,1/11/1999,16:05,Snowfall,5808,22863,1/11/1999 6:50,1/11/1999 22:55,"279,204",5,9,15,612,2408,1/11/1999 7:08,1/11/1999 22:50,"16,311",0,19,19,1/11/1999 7:00,1/11/1999 21:30,17867.93,0.32,0.32,0.64,,,,,,,15
S13,1/17/1999,1/17/1999,8:25,Rain & snowmelt,2047,8061,1/17/1999 13:10,1/17/1999 21:35,"5,280,243",686,"7,392","8,079",0,0,1/17/1999 13:30,1/17/1999 18:45,"314,883",16,173,189,1/17/1999 13:10,1/17/1999 21:35,41342.6,0.74,0.74,1.49,1/17/1999 14:35,1/18/1999 10:45,74133513,1334,5189,6524,8079
S14,3/13/1999,3/13/1999,5:20,Snowmelt,642,2526,3/13/1999 15:05,3/13/1999 20:25,"884,902",97,690,788,na,na,3/13/1999 15:03,3/13/1999 16:16,"3,681",1,10,12,3/13/1999 16:25,3/13/1999 18:45,90047.58,1.62,1.62,3.24,3/13/1999 16:23,3/13/1999 22:22,5661105,102,192,294,788
S15,3/15/1999,3/16/1999,30:05:00,Snowmelt,159,627,3/15/1999 14:40,3/16/1999 20:45,"14,798,952",681,"5,180","5,860",na,na,3/15/1999 14:47,3/17/1999 8:08,"121,593",23,158,181,3/15/1999 15:10,3/16/1999 9:50,927008.72,16.69,16.69,33.37,3/15/1999 15:30,3/17/1999 2:50,67677272,1218,2436,3655,5860
S16,9/27/1999,9/27/1999,4:50,Thunderstorm,0,0,9/27/1999 5:15,9/27/1999 10:05,"2,114,986",38,38,76,0,0,,,,,,,9/27/1999 5:00,9/27/1999 11:05,491750.42,8.85,8.85,17.7,9/27/1999 4:40,9/27/1999 11:25,14604699,263,263,526,76
S17,1/3/2000,1/4/2000,19:25,Freezing rain,8888,34991,1/3/2000 15:45,1/4/2000 11:10,"1,162,973",90,"3,489","3,578",2952,11622,1/3/2000 15:38,1/4/2000 10:32,"24,352",9,852,861,1/3/2000 15:35,1/4/2000 9:50,27750.51,0.5,0.5,1,1/3/2000 20:45,1/4/2000 15:50,11808126,213,2480,2692,3578
S18,1/19/2000,1/19/2000,7:50,Snowfall,6491,25554,1/19/2000 16:00,1/19/2000 23:50,"294,778",5,141,147,2203,8671,,,,,,,1/19/2000 15:55,1/19/2000 23:20,10760.4,0.19,0.19,0.39,1/19/2000 20:45,1/20/2000 6:00,1755645,32,165,197,147
S19,2/13/2000,2/13/2000,14:45,Snowfall,13964,54972,2/13/2000 6:25,2/13/2000 21:10,"1,302,009",768,"5,468","6,237",30,118,,,,,,,2/13/2000 6:10,2/13/2000 20:50,4813.86,0.09,0.09,0.17,2/13/2000 10:50,2/14/2000 4:50,9457828,170,1324,1494,6237
S20,2/22/2000,2/24/2000,50:35:00,Snowmelt/Rain,61,239,2/22/2000 11:25,2/24/2000 14:00,"75,152,920","2,931","25,552","28,483",0,0,2/22/2000 11:27,2/24/2000 10:25,"702,258",34,527,560,2/22/2000 14:05,2/24/2000 12:00,17896249.2,322.13,322.13,644.26,2/22/2000 11:40,2/24/2000 16:35,314883372,5668,5668,11336,28483
S21,2/24/2000,2/27/2000,66:35:00,Snowmelt,332,1306,2/24/2000 19:25,2/27/2000 14:00,"24,486,996",612,"4,163","4,775",0,0,,,,,,,2/24/2000 15:30,2/28/2000 4:40,8155252.8,146.79,163.11,309.9,2/24/2000 18:15,2/28/2000 9:45,136827019,2463,4926,7389,4775
S22,4/7/2000,4/8/2000,15:05,Wet snowfall,10031,39491,4/7/2000 12:35,4/8/2000 3:40,"13,103,906","2,883","17,035","19,918",1305,5138,4/7/2000 12:37,4/8/2000 0:36,"124,594",2,162,164,4/7/2000 12:50,4/8/2000 2:50,3313071.45,59.64,59.64,119.27,4/7/2000 15:40,4/8/2000 7:25,50687162,1774,12672,14446,19918
S23,9/22/2000,9/22/2000,9:15,Thunderstorm,0,0,9/22/2000 12:30,9/22/2000 21:45,"30,243,528",544,544,"1,089",0,0,9/22/2000 12:36,9/22/2000 21:06,"1,104,357",20,20,40,9/22/2000 13:00,9/22/2000 22:15,9118025.7,164.12,164.12,328.25,9/22/2000 12:50,9/22/2000 22:05,158177924,2847,3796,6643,1089
S24,12/11/2000,12/11/2000,14:15,Snowfall,9986,39311,12/11/2000 7:20,12/11/2000 21:35,"592,389",35,592,627,1276,5021,,,,,,,12/11/2000 7:50,12/11/2000 22:35,133655.53,2.41,7.22,9.62,12/11/2000 14:25,12/12/2000 9:35,4780734,86,621,708,627
S25,12/16/2000,12/16/2000,4:35,Freezing mist,1834,7219,12/16/2000 6:20,12/16/2000 10:55,"471,759",142,"3,114","3,255",190,748,12/16/2000 6:18,12/16/2000 16:44,"92,228",2,"1,752","1,754",12/16/2000 6:25,12/16/2000 10:50,70792.13,1.27,8.5,9.77,,,,,,,3255
S26,1/14/2001,1/14/2001,9:55,Freezing rain,1964,7733,1/14/2001 6:40,1/14/2001 16:35,"3,440,214",654,"5,504","6,158",44,173,1/14/2001 6:45,1/14/2001 12:37,"249,061",6,172,178,1/14/2001 6:55,1/14/2001 16:35,565204.33,10.17,25.43,35.61,1/14/2001 9:00,1/14/2001 16:20,30885188,1390,5868,7258,6158
S27,1/29/2001,1/29/2001,7:10,Freezing rain,3369,13263,1/29/2001 6:35,1/29/2001 13:45,"788,907",221,"3,471","3,692",0,0,1/29/2001 6:45,1/29/2001 13:55,"145,577",3,"1,398","1,400",1/29/2001 6:50,1/29/2001 13:45,306105.15,5.51,5.51,11.02,1/29/2001 10:10,1/29/2001 19:50,32102247,578,4815,5393,3692
S28,2/24/2001,2/24/2001,6:25,Freezing rain,6121,24098,2/24/2001 6:15,2/24/2001 12:40,"4,478,876",851,"9,406","10,257",92,360,2/24/2001 6:19,2/24/2001 13:27,"418,608",8,963,970,2/24/2001 6:35,2/24/2001 13:30,1059050.19,19.06,85.78,104.85,2/24/2001 8:30,2/24/2001 17:45,72304245,1301,11569,12870,10257
S29,3/20/2001,3/25/2001,112:40:00,Snowmelt,482,1898,3/20/2001 9:50,3/25/2001 2:30,"12,646,305",228,582,809,0,0,3/20/2001 11:23,3/26/2001 13:16,"285,264",5,599,604,3/20/2001 10:10,3/26/2001 9:10,3326663.54,59.88,59.88,119.76,3/20/2001 21:55,3/26/2001 12:40,91717711,1651,1651,3302,809
S30,10/24/2001,10/24/2001,1:33,Thunderstorm,0,0,10/24/2001 0:47,10/24/2001 2:20,"6,951,504",125,125,250,0,0,10/24/2001 0:36,10/24/2001 1:47,"311,485",6,6,11,,,,,,,10/24/2001 0:50,10/24/2001 3:30,47487357,855,855,1710,250
S31,1/14/2002,1/14/2002,5:50,Rain/snowfall,569,2242,1/14/2002 8:40,1/14/2002 14:30,"834,781",15,61,76,40,157,1/14/2002 5:54,1/14/2002 13:52,"229,366",5,177,182,1/14/2002 6:05,1/14/2002 15:15,594653.85,10.7,10.7,21.41,1/14/2002 9:10,1/14/2002 18:35,9287927,167,167,334,76
S32,1/16/2002,1/17/2002,14:40,Wet snowfall,5273,20758,1/16/2002 14:00,1/17/2002 4:40,"1,735,823",38,52,90,1199,4719,1/16/2002 14:05,1/17/2002 3:51,"31,149",1,30,30,1/16/2002 14:15,1/17/2002 1:15,622970.7,11.21,11.21,22.43,1/16/2002 17:10,1/17/2002 6:05,6541192,118,164,281,90
S33,1/31/2002,2/1/2002,31:20:00,Snow/mist ,13359,52591,1/31/2002 5:30,2/1/2002 12:50,"9,146,343","1,006","12,805","13,811",1358,5345,1/31/2002 5:35,2/1/2002 12:30,"566,337",10,"2,095","2,106",1/31/2002 5:40,2/1/2002 10:50,2661783.9,47.91,47.91,95.82,1/31/2002 9:40,2/1/2002 15:15,48223596,868,8680,9548,13811
S34,2/21/2002,2/21/2002,7:30,Wet snowfall,3189,12553,2/21/2002 5:20,2/21/2002 12:50,"2,657,536",48,478,526,506,1991,2/21/2002 5:26,2/21/2002 12:59,"28,317",1,159,159,2/21/2002 5:40,2/21/2002 12:50,594653.85,10.7,35.68,46.38,2/21/2002 8:55,2/21/2002 18:35,12969117,233,298,532,526
S35,3/1/2002,3/2/2002,25:40:00,Snowfall/Lt. rain,9380,36929,3/1/2002 21:45,3/2/2002 23:25,"4,567,508","1,005","6,851","7,856",374,1472,3/1/2002 21:47,3/3/2002 5:10,"133,089",4,479,483,3/1/2002 21:55,3/2/2002 22:15,1557426.75,28.03,45.17,73.2,3/2/2002 8:05,3/3/2002 6:50,25541799,690,4087,4776,7856
S36,10/2/2002,10/2/2002,8:15,Thunderstorm,0,0,10/2/2002 2:35,10/2/2002 10:50,"8,628,144",155,155,311,0,0,10/2/2002 1:28,10/2/2002 6:56,"578,796",10,10,21,10/1/2002 23:30,10/2/2002 12:00,2385694.61,42.94,42.94,85.89,10/2/2002 1:20,10/2/2002 13:10,56152314,1011,1011,2021,311
S37,1/31/2003,1/31/2003,9:35,Freezing mist,2474,9741,1/31/2003 8:05,1/31/2003 17:40,"3,162,992",57,"7,275","7,332",112,443,1/31/2003 7:54,1/31/2003 17:34,"65,978",1,376,377,,,,,,,1/31/2003 8:50,1/31/2003 22:30,4260270,77,77,153,7332
S38,3/4/2003,3/8/2003,91:35:00,Snow & snowmelt,15661,61654,3/4/2003 16:20,3/8/2003 11:55,"1,775,466",85,"3,373","3,459",1684,6630,3/4/2003 16:26,3/7/2003 18:42,"149,796",3,"1,094","1,096",,,,,,,3/4/2003 23:25,3/8/2003 14:40,22993282,414,3219,3633,3459
S39,3/14/2003,3/16/2003,53:30:00,Snowmelt,629,2475,3/14/2003 13:40,3/16/2003 19:10,"33,187,348","1,062","13,607","14,669",26,104,3/14/2003 13:20,3/16/2003 12:07,"840,444",15,"2,437","2,452",3/14/2003 14:00,3/16/2003 17:25,16197238.2,291.55,291.55,583.1,3/14/2003 14:35,3/16/2003 20:15,164775750,2966,21421,24387,14669
S40,4/4/2003,4/5/2003,9:20,Freezing rain,5127,20185,4/4/2003 16:35,4/5/2003 1:55,"17,216,645",310,"8,092","8,402",627,2470,4/4/2003 16:40,4/5/2003 1:33,"222,287",4,600,604,4/4/2003 23:05,4/5/2003 1:00,298742.77,5.38,15.24,20.61,4/4/2003 17:50,4/5/2003 5:45,60173306,1083,7221,8304,8402
S41,1/4/2004,1/5/2004,12:00,Snowfall,6014,23677,1/4/2004 16:15,1/5/2004 4:15,"563,505",10,29,39,0,0,1/4/2004 16:51,1/4/2004 23:09,"1,982",0,2,2,1/4/2004 17:00,1/5/2004 3:35,47572.31,0.86,1.19,2.05,1/4/2004 17:10,1/5/2004 11:13,5683192,102,102,205,39
S42,1/17/2004,1/18/2004,23:20,Light rain/snow,7018,27628,1/17/2004 5:40,1/18/2004 5:00,"1,271,427",23,"16,529","16,551",911,3588,1/17/2004 8:58,1/17/2004 20:02,"112,701",2,"1,352","1,354",1/17/2004 9:20,1/17/2004 15:05,44457.45,0.8,0.8,1.6,1/17/2004 9:05,1/18/2004 4:50,10604943,191,1803,1994,16551
S43,2/19/2004,2/22/2004,62:05:00,Snowmelt/Rain,3995,15726,2/19/2004 18:05,2/22/2004 8:10,"12,493,394",225,"23,737","23,962",440,1733,2/20/2004 14:16,2/22/2004 4:41,"812,410",15,"11,374","11,388",,,,,,,2/19/2004 19:46,2/22/2004 15:51,86564610,1558,25969,27528,23962
S44,1/1/2005,1/2/2005,7:10,Freezing Rain,957,3767,1/1/2005 16:55,1/2/2005 0:05,"4,472,080",80,"4,248","4,329",0,0,1/1/2005 16:58,1/2/2005 0:21,"724,628",13,85,98,,,,,,,,,,,,,4329
S45,1/3/2005,1/4/2005,10:35,Fr. Rain/Snow,5133,20207,1/3/2005 13:30,1/4/2005 0:05,"1,473,609",27,"2,063","2,090",1656,6519,1/3/2005 13:12,1/3/2005 18:58,"25,485",0,"1,784","1,784",1/3/2005 13:40,1/4/2005 0:00,547647.88,9.86,9.86,19.72,1/3/2005 19:40,1/4/2005 7:40,9560618,172,583,755,2090
S46,1/4/2005,1/6/2005,35:25:00,Snowfall,14038,55266,1/4/2005 22:45,1/6/2005 10:10,"2,765,424",50,"1,687","1,737",,,,,,,,,1/5/2005 6:45,1/6/2005 12:15,728026.21,13.1,13.1,26.21,,,,,,,1737
S47,1/11/2005,1/13/2005,33:25:00,Snowmelt/Rain,1813,7137,1/11/2005 22:35,1/13/2005 8:00,"90,413,720","1,627","18,083","19,710",0,0,1/11/2005 13:33,1/13/2005 8:25,"2,567,772",46,"2,568","2,614",1/11/2005 22:45,1/13/2005 7:25,27947598.28,503.06,1145.85,1648.91,1/12/2005 17:10,1/13/2005 15:20,357330330,6432,11435,17867,19710
S48,2/19/2005,2/21/2005,24:35:00,Snow/Rain,14304,56312,2/19/2005 23:35,2/21/2005 0:10,"4,731,746",85,"24,605","24,690",544,2140,2/20/2005 10:24,2/21/2005 0:29,"114,400",2,26,28,2/19/2005 23:45,2/21/2005 0:30,1177131.45,21.19,21.19,42.38,2/20/2005 13:15,2/21/2005 15:15,49865973,898,21442,22340,24690
