STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement Flag,Quality Flag
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901001 01:00,0,g, 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901003 08:00,6, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901003 10:00,6, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901003 11:00,10, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901003 15:00,9, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901003 16:00,12, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901003 17:00,3, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901008 12:00,2, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901008 15:00,7, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901008 16:00,6, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901008 17:00,5, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901008 18:00,2, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901008 19:00,2, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901008 20:00,3, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901008 22:00,3, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901008 23:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901009 00:00,2, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901009 01:00,2, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901009 02:00,2, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901009 14:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901009 15:00,3, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901009 16:00,8, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901009 17:00,4, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901009 18:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901009 19:00,5, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901009 20:00,7, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901009 21:00,4, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901009 22:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901009 23:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901010 03:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901010 06:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901010 07:00,4, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901010 08:00,2, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901010 09:00,3, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901010 10:00,16, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901010 11:00,13, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901010 12:00,7, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901010 13:00,4, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901010 14:00,3, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901010 15:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901010 17:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901014 11:00,11, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901014 12:00,12, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901014 13:00,20, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901014 14:00,14, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901014 15:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901017 19:00,2, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901017 20:00,24, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901017 21:00,5, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901018 07:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901021 04:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901101 01:00,0,g, 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901103 18:00,5, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901103 19:00,4, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901103 20:00,3, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901103 21:00,4, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901103 23:00,8, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901104 00:00,12, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901104 01:00,6, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901104 02:00,8, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901104 03:00,8, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901104 04:00,4, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901104 05:00,2, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901104 06:00,5, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901104 08:00,5, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901104 09:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901104 10:00,3, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901104 20:00,2, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901104 21:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901104 22:00,2, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901104 23:00,8, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901105 00:00,6, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901105 01:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901105 02:00,4, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901105 03:00,19, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901105 04:00,9, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901105 05:00,2, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901105 06:00,4, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901105 07:00,6, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901105 08:00,2, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901105 09:00,5, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901105 10:00,3, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901105 11:00,2, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901105 13:00,7, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901105 14:00,5, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901105 15:00,4, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901105 16:00,5, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901105 17:00,4, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901106 20:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901106 23:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901109 03:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901109 04:00,3, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901109 05:00,2, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901109 06:00,2, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901109 07:00,2, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901109 08:00,3, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901109 09:00,4, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901109 10:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901121 04:00,4, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901121 05:00,8, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901121 06:00,4, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901121 07:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901121 09:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901121 10:00,4, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901121 11:00,4, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901121 21:00,2, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901123 05:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901126 13:00,2, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901126 14:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901126 22:00,1, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901127 04:00,2, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901127 07:00,8, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901127 08:00,10, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901127 09:00,5, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901127 17:00,41, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901127 18:00,25, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901127 19:00,10, , 
COOP:475479,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,204.8,42.95,-87.9,19901127 20:00,2, , 
