Site,Storm ID,Volume (liters),EG+PG (kg),Sample Start Date,Sample End Date,recordNo
OUT,S05,5786548.3,22683.27,12/10/1997 6:35,12/10/1997 20:55,99800489
OUT,S06,3659669.69,16688.09,1/4/1998 6:05,1/4/1998 12:30,99800511
OUT,S07,2235898.48,2548.92,1/8/1998 8:25,1/8/1998 19:40,99800571
OUT,S08,832798.56,682.89,3/3/1998 6:10,3/3/1998 9:55,99801649
OUT,S09,23211321.95,835.61,7/20/1998 19:50,7/21/1998 3:45,99805669
OUT,S10,75322.82,3.16,12/20/1998 20:50,12/20/1998 23:00,99900814
OUT,S11,158008.02,5.69,12/29/1998 6:02,12/29/1998 11:49,99900955
OUT,S12,279204.14,14.52,1/11/1999 6:50,1/11/1999 22:55,99901034
OUT,S13,5280243.02,8078.77,1/17/1999 13:10,1/17/1999 21:35,99901035
OUT,S14,884901.56,787.56,3/13/1999 15:05,3/13/1999 20:25,99903363
OUT,S15,14798952.15,5860.39,3/15/1999 14:40,3/16/1999 20:45,99902206
OUT,S16,2114985.53,76.14,9/27/1999 5:15,9/27/1999 10:05,99907823
OUT,S17,1162973.03,3578.47,1/3/2000 15:45,1/4/2000 11:10,00001557
OUT,S18,294778.41,146.8,1/19/2000 16:00,1/19/2000 23:50,00001631
OUT,S19,1302008.76,6236.62,2/13/2000 6:25,2/13/2000 21:10,00002277
OUT,S20,75152919.9,28482.96,2/22/2000 11:25,2/24/2000 14:00,00002279
OUT,S21,24486996.04,4774.96,2/24/2000 19:25,2/27/2000 14:00,00002846
OUT,S22,13103905.51,19917.94,4/7/2000 12:35,4/8/2000 3:40,00002420
OUT,S23,30243528.47,1088.77,9/22/2000 12:30,9/22/2000 21:45,00008266
OUT,S24,592388.5,627.34,12/11/2000 7:20,12/11/2000 21:35,00100299
OUT,S25,471758.72,3255.14,12/16/2000 6:20,12/16/2000 10:55,00100306
OUT,S26,3440214.11,6157.98,1/14/2001 6:40,1/14/2001 16:35,00100452
OUT,S27,788907.44,3692.09,1/29/2001 6:35,1/29/2001 13:45,00101055
OUT,S28,4478876.16,10256.63,2/24/2001 6:15,2/24/2001 12:40,00101056
OUT,S29,12646305.21,809.36,3/20/2001 9:50,3/25/2001 2:30,00101160
OUT,S30,6951503.51,250.25,10/24/2001 0:47,10/24/2001 2:20,00200338
OUT,S31,834780.74,75.97,1/14/2002 8:40,1/14/2002 14:30,00200912
OUT,S32,1735822.91,90.26,1/16/2002 14:00,1/17/2002 4:40,00200966
OUT,S33,9146342.55,13810.98,1/31/2002 5:30,2/1/2002 12:50,00200967
OUT,S34,2657536.37,526.19,2/21/2002 5:20,2/21/2002 12:50,00201101
OUT,S35,4567507.91,7856.11,3/1/2002 21:45,3/2/2002 23:25,00201105
