RECORD_NO	AGENCY_CD	SITE_NO	MEDIUM_CD	SAMPLE_START_DT	SAMPLE_END_DT	SAMP_TYPE_CD	PARM_CD	METH_CD	RESULT_VA	REMARK_CD	DQI_CD	NULL_VAL_QUAL_CD
99700219	USGS	040871475	WS	06-NOV-96 18:25:00		9	00310		17.4		A	
99700219	USGS	040871475	WS	06-NOV-96 18:25:00		9	91075		6.4	<	A	
99700219	USGS	040871475	WS	06-NOV-96 18:25:00		9	91080		4	<	A	
99700220	USGS	040871475	WS	24-NOV-96 06:10:00		9	00310		284		A	
99700220	USGS	040871475	WS	24-NOV-96 06:10:00		9	00335		420		A	
99700220	USGS	040871475	WS	24-NOV-96 06:10:00		9	91075		6.4	<	A	
99700220	USGS	040871475	WS	24-NOV-96 06:10:00		9	91080		61		A	
99700221	USGS	040871475	WS	24-NOV-96 10:10:00		9	00310		422	>	A	
99700221	USGS	040871475	WS	24-NOV-96 10:10:00		9	00335		490		A	
99700221	USGS	040871475	WS	24-NOV-96 10:10:00		9	91075		10	<	A	
99700221	USGS	040871475	WS	24-NOV-96 10:10:00		9	91080		110		A	
99700223	USGS	040871475	WS	24-NOV-96 19:10:00		9	00310		422	>	A	
99700223	USGS	040871475	WS	24-NOV-96 19:10:00		9	91075		100		A	
99700223	USGS	040871475	WS	24-NOV-96 19:10:00		9	91080		2700		A	
99700224	USGS	040871475	WS	25-NOV-96 05:10:00		9	00310		232		A	
99700224	USGS	040871475	WS	25-NOV-96 05:10:00		9	00335		1800		A	
99700224	USGS	040871475	WS	25-NOV-96 05:10:00		9	91075		80		A	
99700224	USGS	040871475	WS	25-NOV-96 05:10:00		9	91080		900		A	
99700398	USGS	040871475	WS	25-NOV-96 13:00:00		9	91075		6.4	<	A	
99700398	USGS	040871475	WS	25-NOV-96 13:00:00		9	91080		4	<	A	
99700256	USGS	040871475	WS	05-DEC-96 14:30:00		9	00310		962		A	
99700256	USGS	040871475	WS	05-DEC-96 14:30:00		9	91075		41		A	
99700256	USGS	040871475	WS	05-DEC-96 14:30:00		9	91080		290		A	
99700293	USGS	040871475	WS	05-DEC-96 15:35:00		9	00310		741		A	
99700293	USGS	040871475	WS	05-DEC-96 15:35:00		9	91075		62		A	
99700293	USGS	040871475	WS	05-DEC-96 15:35:00		9	91080		680		A	
99700294	USGS	040871475	WS	05-DEC-96 16:35:00		9	00310		675		A	
99700294	USGS	040871475	WS	05-DEC-96 16:35:00		9	91075		58		A	
99700294	USGS	040871475	WS	05-DEC-96 16:35:00		9	91080		690		A	
99700295	USGS	040871475	WS	05-DEC-96 17:35:00		9	00310		1080		A	
99700295	USGS	040871475	WS	05-DEC-96 17:35:00		9	91075		57		A	
99700295	USGS	040871475	WS	05-DEC-96 17:35:00		9	91080		610		A	
99700296	USGS	040871475	WS	05-DEC-96 19:35:00		9	00310		1110	>	A	
99700296	USGS	040871475	WS	05-DEC-96 19:35:00		9	00335		34000		A	
99700296	USGS	040871475	WS	05-DEC-96 19:35:00		9	91075		280		A	
99700296	USGS	040871475	WS	05-DEC-96 19:35:00		9	91080		5900		A	
99700297	USGS	040871475	WS	05-DEC-96 21:35:00		9	00310		1092		A	
