#  RDB file created by NWIS qwflatout program on nwiswi at 06/02/2014 15:47:50
#
# AGNCY  Agency code
# BDATE  Begin date
# BTIME  Begin time
# EDATE  End date
# ETIME  End time
# MEDIM  Medium code
# PCODE  Parameter code
# REMRK  Remark code
# SAMPL  Record number
# SCMFL  Field sample comment
# STAID  Station number
# STYPE  Sample type code
# VALUE  Parameter value
# RPLEV  Reporting level
#
AGNCY	BDATE	BTIME	EDATE	ETIME	MEDIM	PCODE	REMRK	SAMPL	SCMFL	STAID	STYPE	VALUE	RPLEV
10S	10S	10S	10D	10S	10S	10S	10S	10S	50S	20S	10S	10N	10S
USGS	20000103	2220			WS	00028		00001561		040871488	9	85543	
USGS	20000103	2220			WS	00061		00001561		040871488	9	5.9	
USGS	20000103	2220			WS	00556		00001561		040871488	9	2	
USGS	20000103	2220			WS	30209		00001561		040871488	9	.17	
USGS	20000103	2220			WS	82398		00001561		040871488	9	70	
USGS	20000103	2045	20000104	1550	WS	00028		00001562	LK-S17	040871488	9	85543	
USGS	20000103	2045	20000104	1550	WS	00310	<	00001562	LK-S17	040871488	9	300	
USGS	20000103	2045	20000104	1550	WS	00335		00001562	LK-S17	040871488	9	380	
USGS	20000103	2045	20000104	1550	WS	00403		00001562	LK-S17	040871488	9	7.9	
USGS	20000103	2045	20000104	1550	WS	00530		00001562	LK-S17	040871488	9	30	
USGS	20000103	2045	20000104	1550	WS	00605		00001562	LK-S17	040871488	9	1.4	
USGS	20000103	2045	20000104	1550	WS	00608		00001562	LK-S17	040871488	9	.434	
USGS	20000103	2045	20000104	1550	WS	00625		00001562	LK-S17	040871488	9	1.8	
USGS	20000103	2045	20000104	1550	WS	00665		00001562	LK-S17	040871488	9	.129	
USGS	20000103	2045	20000104	1550	WS	00916		00001562	LK-S17	040871488	9	130	
USGS	20000103	2045	20000104	1550	WS	00921		00001562	LK-S17	040871488	9	42	
USGS	20000103	2045	20000104	1550	WS	01094		00001562	LK-S17	040871488	9	100	
USGS	20000103	2045	20000104	1550	WS	01113	M	00001562	LK-S17	040871488	9		
USGS	20000103	2045	20000104	1550	WS	01114		00001562	LK-S17	040871488	9	67	
USGS	20000103	2045	20000104	1550	WS	01119		00001562	LK-S17	040871488	9	11	
USGS	20000103	2045	20000104	1550	WS	71846		00001562	LK-S17	040871488	9	.559	
USGS	20000103	2045	20000104	1550	WS	82398		00001562	LK-S17	040871488	9	50	
USGS	20000103	2045	20000104	1550	WS	91075	<	00001562	LK-S17	040871488	9	18.0	
USGS	20000103	2045	20000104	1550	WS	91080		00001562	LK-S17	040871488	9	210	
USGS	20000103	2045	20000104	1550	WS	99904		00001562	LK-S17	040871488	9	420	
USGS	20000103	2045	20000104	1550	WS	99908		00001562	LK-S17	040871488	9	500	
USGS	20000118	0820			WS	00028		00001625	LK-B14	040871488	9	85543	
USGS	20000118	0820			WS	00061		00001625	LK-B14	040871488	9	3.0	
USGS	20000118	0820			WS	00310		00001625	LK-B14	040871488	9	25.8	
USGS	20000118	0820			WS	00335		00001625	LK-B14	040871488	9	77	
USGS	20000118	0820			WS	00403		00001625	LK-B14	040871488	9	7.7	
USGS	20000118	0820			WS	00530		00001625	LK-B14	040871488	9	21	
USGS	20000118	0820			WS	00556		00001625	LK-B14	040871488	9	2	
USGS	20000118	0820			WS	00605		00001625	LK-B14	040871488	9	1.8	
USGS	20000118	0820			WS	00608		00001625	LK-B14	040871488	9	.082	
USGS	20000118	0820			WS	00625		00001625	LK-B14	040871488	9	1.9	
USGS	20000118	0820			WS	00665		00001625	LK-B14	040871488	9	.201	
USGS	20000118	0820			WS	00916		00001625	LK-B14	040871488	9	110	
USGS	20000118	0820			WS	00921		00001625	LK-B14	040871488	9	48	
USGS	20000118	0820			WS	01094	<	00001625	LK-B14	040871488	9	20	
USGS	20000118	0820			WS	01114	<	00001625	LK-B14	040871488	9	.8	
USGS	20000118	0820			WS	01119		00001625	LK-B14	040871488	9	3	
USGS	20000118	0820			WS	30209		00001625	LK-B14	040871488	9	.08	
USGS	20000118	0820			WS	71846		00001625	LK-B14	040871488	9	.106	
USGS	20000118	0820			WS	82398		00001625	LK-B14	040871488	9	70	
USGS	20000118	0820			WS	91075	<	00001625	LK-B14	040871488	9	18.0	
USGS	20000118	0820			WS	91080	<	00001625	LK-B14	040871488	9	18.0	
USGS	20000118	0820			WS	99908		00001625	LK-B14	040871488	9	470	
USGS	20000118	0820			WS	99920		00001625	LK-B14	040871488	9	58000	
USGS	20000118	0820			WS	99921		00001625	LK-B14	040871488	9	1100.0	
USGS	20000118	0820			WS	99922		00001625	LK-B14	040871488	9	1100.0	
USGS	20000119	2045	20000120	0600	WS	00028		00001629	LK-S18	040871488	9	85543	
